"행정구역","2026년07월_거주자_총인구수","2026년07월_거주자_연령구간인구수","2026년07월_거주자_0~9세","2026년07월_거주자_10~19세","2026년07월_거주자_20~29세","2026년07월_거주자_30~39세","2026년07월_거주자_40~49세","2026년07월_거주자_50~59세","2026년07월_거주자_60~69세","2026년07월_거주자_70~79세","2026년07월_거주자_80~89세","2026년07월_거주자_90~99세","2026년07월_거주자_100세 이상","2026년07월_남_거주자_총인구수","2026년07월_남_거주자_연령구간인구수","2026년07월_남_거주자_0~9세","2026년07월_남_거주자_10~19세","2026년07월_남_거주자_20~29세","2026년07월_남_거주자_30~39세","2026년07월_남_거주자_40~49세","2026년07월_남_거주자_50~59세","2026년07월_남_거주자_60~69세","2026년07월_남_거주자_70~79세","2026년07월_남_거주자_80~89세","2026년07월_남_거주자_90~99세","2026년07월_남_거주자_100세 이상","2026년07월_여_거주자_총인구수","2026년07월_여_거주자_연령구간인구수","2026년07월_여_거주자_0~9세","2026년07월_여_거주자_10~19세","2026년07월_여_거주자_20~29세","2026년07월_여_거주자_30~39세","2026년07월_여_거주자_40~49세","2026년07월_여_거주자_50~59세","2026년07월_여_거주자_60~69세","2026년07월_여_거주자_70~79세","2026년07월_여_거주자_80~89세","2026년07월_여_거주자_90~99세","2026년07월_여_거주자_100세 이상"
"전남광주통합특별시 북구 (1230000000)","415,597","415,597","25,006","39,320","47,936","53,418","60,521","70,148","63,516","36,496","16,463","2,717","56","205,122","205,122","12,796","20,449","25,235","27,753","30,696","34,693","30,157","16,388","6,305","644","6","210,475","210,475","12,210","18,871","22,701","25,665","29,825","35,455","33,359","20,108","10,158","2,073","50"
"전남광주통합특별시 광산구 (1233000000)","381,988","381,988","25,097","46,413","48,535","49,075","62,544","71,525","46,839","20,771","9,499","1,655","35","192,822","192,822","12,682","23,888","25,906","26,012","31,070","36,156","24,029","9,437","3,321","316","5","189,166","189,166","12,415","22,525","22,629","23,063","31,474","35,369","22,810","11,334","6,178","1,339","30"
"전남광주통합특별시 담양군 (1271000000)","43,861","43,861","1,622","2,758","3,023","3,142","4,260","7,336","9,906","6,655","4,293","842","24","22,163","22,163","831","1,453","1,749","1,636","2,277","4,002","5,316","3,249","1,477","171","2","21,698","21,698","791","1,305","1,274","1,506","1,983","3,334","4,590","3,406","2,816","671","22"
"전남광주통합특별시 곡성군 (1272000000)","27,614","27,614","752","1,596","1,779","1,806","2,373","4,609","6,431","4,339","3,091","809","29","13,796","13,796","365","865","1,013","940","1,277","2,547","3,496","2,107","1,000","182","4","13,818","13,818","387","731","766","866","1,096","2,062","2,935","2,232","2,091","627","25"
"전남광주통합특별시 구례군 (1273000000)","24,524","24,524","696","1,533","1,576","1,315","2,225","4,211","5,739","3,866","2,775","575","13","12,002","12,002","338","787","866","683","1,137","2,294","3,059","1,804","904","128","2","12,522","12,522","358","746","710","632","1,088","1,917","2,680","2,062","1,871","447","11"
"전남광주통합특별시 고흥군 (1274000000)","58,847","58,847","1,725","3,037","2,906","3,073","4,825","8,796","13,473","11,467","7,704","1,789","52","29,226","29,226","858","1,618","1,698","1,688","2,714","5,140","7,170","5,404","2,542","390","4","29,621","29,621","867","1,419","1,208","1,385","2,111","3,656","6,303","6,063","5,162","1,399","48"
"전남광주통합특별시 보성군 (1275000000)","38,029","38,029","1,140","2,212","2,259","2,078","3,286","5,960","8,546","6,741","4,712","1,076","19","18,724","18,724","588","1,134","1,225","1,146","1,783","3,366","4,540","3,180","1,548","213","1","19,305","19,305","552","1,078","1,034","932","1,503","2,594","4,006","3,561","3,164","863","18"
"전남광주통합특별시 화순군 (1276000000)","59,666","59,666","2,407","4,542","5,296","4,792","6,140","10,578","12,118","7,564","5,192","1,016","21","29,542","29,542","1,253","2,342","2,781","2,462","3,119","5,577","6,506","3,632","1,644","224","2","30,124","30,124","1,154","2,200","2,515","2,330","3,021","5,001","5,612","3,932","3,548","792","19"
"전남광주통합특별시 장흥군 (1277000000)","33,819","33,819","1,224","2,231","2,173","2,203","3,244","5,366","7,250","5,434","3,784","897","13","16,723","16,723","611","1,161","1,231","1,231","1,780","2,991","3,752","2,535","1,257","172","2","17,096","17,096","613","1,070","942","972","1,464","2,375","3,498","2,899","2,527","725","11"
"전남광주통합특별시 강진군 (1278000000)","31,605","31,605","1,370","2,036","2,067","2,139","2,930","4,824","6,868","5,043","3,575","733","20","15,580","15,580","671","1,053","1,187","1,149","1,566","2,682","3,567","2,370","1,200","133","2","16,025","16,025","699","983","880","990","1,364","2,142","3,301","2,673","2,375","600","18"
